3966550,3919398,3953159,4986186,12585147,12609274,12462535,12168384,3616953,3565922,3560570
3372890,3441737,3452836,4648389,11930646,11960214,12043917,12028978,3423588,3559852,3531272
3392560,3499971,3507451,4579345,11839948,11890213,11932359,11968303,3428519,3521258,3532944
3439949,3456710,3469382,4632422,11929649,11948353,11956049,11989167,3440352,3518348,3549069
3427106,3463102,3474428,4572256,11845539,12070743,12267984,12407247,3640537,3742906,3791007
3873587,3901945,3937848,5128679,13100254,13213060,13278824,13346732,3827746,3846106,3859110
3957761,4020498,4162316,5420531,13518505,13112473,13697230,13638002,3967424,3995459,4010751
3786818,3835579,3873198,5097206,13049671,13074038,13147445,13148398,3837961,3920993,4004841
3743061,3836448,3871341,5128696,13381161,13445101,13415030,13396619,3929016,3969908,4093515
3823539,3854891,3855349,5151084,13347137,13451938,13465098,13417119,3811735,3893099,3927737
3818515,3984754,3994644,5300297,13401575,13557010,13620010,13607486,3939106,3965634,3970551
3784951,3782255,3776080,4908747,12224965,11915160,12113283,12243972,3538973,3563291,3569195
3481323,3399732,3391855,4773500,8465689,8263784,8229990,8579459,3305885,3352741,3355875
3614948,3550311,3555734,4819336,8161092,8648263,8359380,8955355,4330935,5095612,3555753
3674934,3698261,3680496,8484377,10412985,9609841,9757141,9420546,3596819,4435997,3679798
2820282,2545198,2566670,4677862,23684927,20880012,20128463,23199994,2995020,3952421,2820345
2324958,2310813,2276677,3269093,25778298,25514999,25320163,24570071,2165294,2146764,2126650
2120052,2148738,2130019,2975260,23405535,24374897,24395706,23993334,2126719,2148354,2125155
2107916,2129987,2117613,3087649,24436602,24378650,24326227,24255828,2106291,2129872,2131564
2894794,2896919,2900801,4056465,17693363,18568948,17065968,17158304,2820678,2861897,2879139
3735478,3263675,3276501,5016138,17693622,17241599,12079456,12293140,3847805,3417543,3448224
4973276,3940409,6264283,5372065,10186702,7949578,7372043,9270886,4450680,3848152,4020040
11480988,9648968,8610740,14132211,6863922,6840265,6716927,6578075,8456189,6410285,10201775
7534643,11846678,10572796,13706548,6380347,6326930,6159331,6041406,10757752,7252529,7263177
8139734,11603614,7961769,14141553,9399440,6603060,6676794,6480700,10614836,11110947,9846688
9694524,9070918,11422327,15797318,8270180,7095481,9559085,6912381,11063656,9109144,11065684
9695496,10930158,6958559,13335097,6222443,6303380,7564822,6215774,7483286,11772331,6250849
8913921,9072268,10397205,18508593,6419992,6575860,7749030,6519494,10447390,9825959,11386746
10342672,7702286,8204192,18979558,6442843,6387987,6742119,5972432,7407089,9990265,6891174
9016556,11847047,8341375,16813155,7707152,7632439,6780340,8630437,10818865,11802585,10584165
6839883,7015296,7463996,10512583,7443844,7475443,7139109,5675016,7262686,8716336,7055342
7125486,7416456,6088298,10281717,5972471,9234189,6178325,6199892,7242576,7450268,6058604
6265230,7578548,7339255,10777592,5909407,5988314,6121001,6198116,7821418,8204000,8049201
7865736,8085377,7676241,9358441,6725941,6603021,9883782,6816831,7903328,8144597,7019058
10511461,10014726,8001831,14268538,7673359,5474792,6061558,7900933,8906278,9591036,8162567
8329229,5390137,8362401,12099168,7059865,5928780,5315926,6857604,6943863,5533534,7465746
3647207,5661769,6690935,5208379,6433703,10003347,6524599,6497994,6612576,6643390,3951762
4397932,7497785,8193639,8915375,7332867,10414680,10245466,10852420,7371857,4955104,7906727
9384604,6255299,8329445,14850086,14588245,10386054,10444351,10430084,9440863,8714781,6425498
7295649,5358634,6170873,12077205,7820603,6490467,6339323,6305461,5710304,7505407,7641049
6407583,9209674,7986361,11601308,6252782,9362596,5950004,6186908,7799938,8835216,5643070
11915049,10756795,10900123,20452143,6465398,6418048,7889339,5888791,12332993,11725653,10639386
12346365,12328620,8900075,20724251,5785078,5943424,5804123,5739812,12492921,12495464,9051022
11880653,11906503,11303582,20547047,6092329,7889398,6075391,5955150,11732045,11574166,11902038
12307532,11587930,11571738,18334396,5837845,6234870,5788639,5765420,12408731,10520988,12117463
9729577,6363230,7686917,13628941,7261814,6572110,6305591,6547279,8497887,8838241,9139089
6528627,4086178,4559537,9102275,9850554,9723663,10345960,10547694,5168914,5588263,3824985
3632427,3769244,3530967,9278645,10487371,10880065,10403063,10419872,3502535,3044976,3053913
3323140,4896786,3300166,7058773,9534401,9135054,9091265,9995985,3107714,4718177,3157518
3154918,3179103,3152587,6495493,10331712,10451188,10354954,10427151,3022591,2948876,3374171
3473694,4448248,4747599,7905797,9321484,9408347,10096800,10004955,3187799,3366835,4542774
3592433,4025941,3751366,5480588,11242164,11384079,11325874,10815351,3297686,3291307,3278598
3779524,4554294,4732222,7265698,10464937,10884374,10464408,10300694,3808141,3301766,4838555
3396905,4119564,4881755,5689694,10253912,10400848,10080909,10225268,4117256,3135119,3297304
3181056,3213554,3786019,7009236,10121710,9943612,9788320,9765228,3052612,3025326,3158744
3226302,4919454,3122068,5105333,8718859,8717963,9079459,8870737,2950859,3196929,2978037
3762275,3365983,3473957,5307697,11522555,13374244,13253912,13332382,3216780,3168487,3228732
5180489,3806302,5918674,4550719,24437416,21552423,22129065,22049541,3733914,4611093,3334849
4329781,3637084,5251546,6202646,21661313,20389990,21693373,24159439,3214304,4014808,3613775
