4084834,4063322,4060224,4122608,5687806,5826178,7585848,7613771,3952332,4040069,4105396,4131015,5625757,5734027
4074572,4114026,4054666,4071852,5734714,6118248,7581417,7650040,3944498,4046412,4054688,4069797,5674184,5968659
3864466,3815544,3824216,3771762,5965055,7680422,8776772,9266742,3946848,4137567,4071309,4011247,6908707,8059424
4047388,4050390,4073388,4092619,9278800,9330173,13750862,13742260,3962804,4024551,4033871,4072765,8749863,8846075
3891130,3923153,3812441,3786852,8570612,8552811,12646834,11681159,3668608,3686133,3651240,3640444,7815409,7855497
3559926,3516605,3561259,3527025,7767824,7815341,11799352,11800550,3508407,3583347,3637155,3646117,7687133,7785115
3462420,3536932,3460110,3528562,7853876,7887558,11873608,11920252,3465469,3550122,3536118,3539185,7730364,7832245
3512410,3474466,3445660,3464898,7851112,7881057,11874159,11968821,3510720,3538472,3507955,3530314,7792006,7863711
3446164,3470264,3506718,3481132,7836512,7885229,11869329,11923284,3439848,3584550,3523533,3649546,7902591,8107724
4273463,4269723,5071347,4793507,8506617,7092955,9516788,9026188,4750381,4809548,5432198,4363302,6563489,6261731
4815928,4773419,6621178,6675829,4756002,4753540,5769078,5832449,6490827,6585472,6509637,4682940,4641583,4722423
5767526,6800732,6911021,7048296,4992999,5063982,6125669,5968786,6663649,6545074,6426193,5284699,4632268,4629564
8686028,8288954,7701131,7198561,4410036,4363100,5714457,5716393,8548358,8520446,6880444,7110462,4266937,4324719
8634267,8576294,8356270,8345143,3978124,3946329,4782411,4733300,7897752,7803482,7728377,7622142,3644592,3602675
7732151,7702360,7635703,7683740,3597815,3635440,4501085,4517468,7583324,7524819,7518852,7521043,3566613,3590142
7722484,7707195,7610575,7657272,3559374,3619932,4377907,4323580,7588365,7555620,7517611,7525058,3525399,3598130
7665586,7730549,7580362,7640345,3614666,3662775,4484864,4468340,7537756,7557831,7537101,7522302,3598100,3625419
7745829,7690974,7593231,7672366,3598513,3641500,4481919,4490333,7603598,7555890,7505594,7499852,3638176,3593191
7681126,7721056,7615716,7613681,3601522,3633822,4489557,4482407,7546849,7541966,7530498,7517529,3574023,3602746
7698670,7665270,7594977,7613210,3650469,3695181,4510039,4512121,7540105,7551265,7489321,7516875,3713408,3729812
8855647,8875124,8640372,8727288,4153554,4203966,5140113,5206165,8607745,8540022,8503189,8545429,4051715,4066160
8728851,8641520,8692759,8729198,4172639,4220994,5141363,5183699,8645847,8618151,8549077,8543321,4048610,4071489
8666466,8581547,8375343,8338069,3932835,3932667,4750327,4728818,7916412,7813325,7732425,7670572,3609852,3584410
7711499,7686535,7642152,7630127,3602810,3641752,4472326,4515807,7573645,7548553,7537861,7498565,3628029,3599491
7752438,7720686,7598357,7631865,3613137,3639027,4476230,4457336,7605116,7588024,7481702,7489517,3579807,3607839
7700816,7673280,7624720,7648044,3648334,3633883,4472908,4522689,7577657,7551471,7502242,7483730,3578273,3589989
8783625,8760479,8645942,8697679,4145571,4191834,5120547,5138021,8681221,8602271,8520638,8562552,4055909,4051689
10127988,10094929,9762512,9663426,4374549,4166497,5703965,5130251,10419490,10067463,8920537,8831517,5031522,4112313
11650004,11391014,11493909,12540049,6140926,4228739,5067478,5119015,11373351,11822513,10656025,10848411,4214270,4108406
8061985,8193923,8283590,8308444,6713660,3616617,8028522,5578805,8169624,8535680,8470347,8482149,3890356,3691098
8919398,9068868,9143585,9124748,3891805,3502215,5862766,5890159,9126117,9274418,9240617,9266737,3700057,3955683
9135185,9340788,9315272,9350169,3754622,3760429,5663559,5679205,9227454,9549702,9574311,9590103,3689509,3732755
9076859,9198763,9125015,9096370,3598531,3576727,5338768,5277994,8488275,8609367,8496057,8458466,3261413,3269127
8065715,8262167,8238702,8264434,3277872,3286116,4963992,4905164,8093100,8281569,8306260,8325799,3220908,3261168
8092129,8271031,8283786,8313015,3271436,3285827,4923259,4967009,8053549,8295759,8277725,8302640,3218413,3270236
9750717,8039791,8133568,8164417,3367065,3364583,5027442,4716952,9780620,10335909,8200324,8230942,3173181,3241499
7432377,4942978,5182482,8890277,4358622,4992371,4713667,4692078,8505254,7752619,6591223,6328402,3745588,3640163
3592001,3602225,3267889,3736750,5598036,5492179,7205268,7015351,3437901,3061418,4978737,3712554,5426353,5452664
4803614,4646148,3488059,3447736,7015846,6267107,8003077,7928239,4200230,3273512,4836935,3918525,7070681,7035784
3251382,3198385,3110422,3191322,7025983,7191592,8952315,8969811,3865154,2960748,2953599,4097935,7012681,7052737
4632577,3119945,3148250,4701792,5379742,5510433,6785394,6845331,3117680,2887751,2911737,3140312,5362597,5395517
5060778,3655127,3140842,3311867,7148148,6602600,8907093,8874489,3155944,3039315,3277291,3187257,7528955,7569100
3908300,5938381,3762410,3686603,7543218,7247230,8292132,8250451,3473765,3636740,5563073,3421654,6635966,6633654
3542806,3860183,3531237,3563998,6847786,7856952,8506306,8465149,3250518,3213064,3557425,3249821,7751441,7208461
3866450,3687840,4685438,3411947,7604105,6698152,11814060,8351296,3024752,4015049,4108656,3205916,6619490,6956120
4734987,4090010,5225833,3430623,10685508,9883646,15555122,9903192,3258566,4218591,5279678,3746161,5748293,6302561
