1915183,1911180,1903166,1964672,51764,1886,15263,5509
1863074,1868196,1967108,1860747,69632,16805,38231,27344
1904701,1911212,1848029,1901633,63227,4776,8627,5211
1857649,1858849,1855837,1844483,36850,812,1148,15003
1916774,1857708,1913217,1914010,45380,2995,2164,10213
1853904,1897702,1812396,1793871,169997,128710,107977,139480
1795418,1856426,1788550,1854200,181376,48925,7738,34851
1853281,1795564,1845702,1845632,62565,18504,4840,10118
1844251,1852471,1846095,1793059,43199,24063,20605,35059
1790868,1796542,1785545,1841421,57779,11248,21216,13368
1909441,1856838,1909154,1863858,58771,1553,15418,5752
1854922,1913219,1860228,1915263,54363,1458,12340,2232
1915427,1859839,1911562,1851490,47414,12040,15529,3604
1913313,1913080,1849788,1910222,99521,30268,45207,3658
1862409,1915017,1853348,1856762,54767,11202,8287,7439
1851930,1912730,1895955,1901053,68257,17961,44264,3354
1967635,1908952,1955948,1849620,69953,16720,16920,14832
2121929,2163404,2096234,2022446,2818413,929029,2617532,919520
2045480,1987597,2037251,1987728,1508109,2165137,129001,373723
1849643,1834107,1793880,1792606,35520,8351,11599,8406
1790207,1794736,1844718,1793749,34799,11058,43547,16124
1848305,1796338,1844250,1789746,52790,32517,18244,47308
1853477,1850515,1787334,1788545,62248,7270,42064,25672
1790172,1799647,1846306,1790160,47629,8788,30479,18095
1852331,1793779,1853199,1791681,55273,12206,19928,6795
1842954,1911970,1868751,1851966,62790,3422,25536,34683
1996445,1887095,2132621,2042267,45727,8954,7890,5502
2170860,1955623,2220617,2191491,72552,24140,30876,47988
2312759,2374415,2359343,2305866,107729,29190,15545,11848
2364660,2309982,2370840,2310978,47554,9796,249517,9986
2376114,2325168,2317514,2317630,65475,23753,77981,31868
2407254,2317978,2356743,2301483,66195,3650,8885,6018
2318555,2314264,2369872,2313945,45970,5070,21291,20337
2319999,2368844,2308594,2371964,41009,3059,5317,6062
2370058,2312687,2309813,2312616,41660,3257,16549,5839
2358256,2477961,2428056,2431107,53273,16953,7920,8566
2370775,2321261,2381626,2318995,100061,15351,20331,6981
2368953,2365085,2308237,2372455,45680,2701,9784,9911
2306201,2313500,2347158,2305647,66934,20884,35531,5000
2361297,2308021,2302839,2356369,61965,7322,23612,18307
2304139,2363752,2299164,2298881,47659,12116,52310,34051
2314877,2366751,2305352,2361485,44312,12173,30029,11795
2375599,2320402,2372631,2369744,107844,19670,11826,15222
2378276,2421641,2331257,2313297,47015,8297,21736,1444
2299515,2301635,2360108,2292704,50358,40401,24214,14420
2357962,2315673,2350979,2331556,71290,15727,20846,7773
2332382,2298948,2350270,2300719,48717,8842,24592,6880
2317785,2345629,2382761,2398150,51786,12231,6269,4864
7971991,6665090,9113099,8693905,35711,7859,23770,6472
8875046,8765670,8737732,8779431,43736,5872,4554,9336
8888957,8802612,8784225,8842426,96400,20157,23512,8798
8983362,8860802,8827726,8889313,48248,4189,12078,7827
8950635,8895409,8873649,8922354,97239,28427,229914,8493
9326855,9258379,9017655,9056225,57485,23039,94846,39262
8932946,8886267,8882060,8899619,38581,4665,12230,20583
8996807,8968819,8942058,8985953,33143,3465,3333,25843
9044555,8957148,8957876,9021750,102002,18007,1821,7171
8631349,8828171,8831334,8746439,58341,16779,3487,26356
8506789,8297147,8620086,8293716,67703,16212,32416,11107
8351642,8426802,8645672,8312900,62626,5218,3610,12319
8371796,8402389,8714368,8315896,46165,40409,12289,25500
8427889,8431936,8632835,8366460,43284,6649,21890,11746
8394750,8351575,8685660,8312225,40668,35051,4569,13347
8349986,8373250,8700019,8362000,56362,36070,13696,144018
8346504,8283289,8673828,8361778,67384,77728,16532,95727
8847334,8847621,9252672,8929029,58637,15004,22275,10104
8797233,8771157,8765116,8842213,61081,16276,19970,17496
9152366,9088047,9073688,9107014,46942,30231,5642,13487
8956224,8848234,8709580,8822229,48001,8035,4097,12193
9092287,9017977,8989650,9044485,60792,14731,10377,12891
8845427,8790741,8733163,8828882,54326,18420,4797,13767
8970016,8922900,8870403,8890356,48227,11649,5330,9437
8871670,8814139,8728604,9018477,50782,8943,7362,6719
8875261,8802846,8719122,8793825,53545,13277,23382,15577
7000163,6587175,6567385,6960339,54002,8733,10669,9197
4627351,4393549,4534653,4351062,62909,51735,10407,192287
4480920,4630526,4523550,4464686,70860,20298,18473,130462
4615166,4390578,4439983,4795274,39355,9304,9146,15157
4771950,4387556,4485729,4526846,49537,11762,29446,41493
4829251,4433754,4595583,4496715,51002,4190,9046,11914
4624581,4493198,4649527,4494969,53033,13332,36921,17800
4431754,4473098,4546684,4490279,83955,5729,6266,37724
4504998,4292760,4427564,4429167,48380,8364,3044,14597
4584058,4321949,4528744,4269965,41729,7321,6346,47792
4204900,4416977,4421771,4397888,44998,3686,10555,14364
4622475,4302009,4335234,4410298,52596,17952,6277,26015
4214371,4415479,4301707,4589761,63909,20914,3444,4408
2916512,2588531,3114814,2493681,70193,21059,65058,36779
1988692,2201481,2183134,2011083,95654,7919,4903,12384
2064344,2027458,1999997,2142062,43295,5741,3598,11116
2099206,2018086,1985065,1990446,73001,20590,13864,20966
1988516,2016115,1983454,1998663,44032,8001,3766,724
1988374,1999359,1993921,2000475,48980,23451,25986,1183
2105647,2098317,2071240,2075702,57517,48601,21443,4753
2066356,2085562,2058720,2065164,53278,11894,8101,17589
2071228,2223637,2067140,2084557,62424,43781,20240,15717
2152363,2230330,2237097,2075206,59803,2465,9431,5689
2095432,2081014,2076958,2261210,51519,16967,47907,3865
