6762075,6839079,6856237,128152,15435338,15429500
6765042,6699842,6594527,118593,14770568,14674838
6447988,6511149,6519300,109436,14685586,14723824
6508068,6479175,6531571,113969,14683630,14685154
6496550,6518329,6463234,146941,14715899,14675738
6684244,6446729,6637902,101819,10615050,11193043
6880061,6681692,6741330,140082,8711232,8833216
6921012,6786593,6708869,81627,8719774,8814310
6912267,6689713,6770131,118849,8645375,8810815
7029108,6935146,6927358,87810,8324402,9025649
11242877,9066541,11480491,106299,6304276,6410471
12872653,12746709,12535770,158168,6361680,6489872
11350045,11148357,10918835,121924,6096175,6253399
8986171,8795606,8668593,141654,5571943,5710133
9031042,9021616,9101859,160380,6403792,6424392
9138811,9017349,9038133,139168,6277320,6480700
9186082,9087512,9078562,105859,6345024,6448282
9131007,9125096,9068654,101737,6336243,6509804
9182390,9072503,9010300,92311,6316191,6441608
9131628,9099271,9051213,96909,6272820,6477456
9133435,9056093,9032012,96064,6316322,6402249
9143031,9110112,9058119,80066,6342223,6512229
9126675,9128565,9024154,98016,6352747,6525191
9161835,9113145,9084036,81403,6344259,6522749
9209906,9119891,9035172,115337,6387476,6516395
9033062,8904615,8832706,151318,6077693,6224458
8773636,8692713,8679772,85640,6026543,6206489
8701686,8692588,8620833,100379,6145512,6353414
9396406,9301559,9044950,88601,6413606,6554988
9232201,9082923,9034987,100810,6418385,6498652
9174306,9119088,9102440,72514,6357545,6567581
9160294,9129901,9047586,101005,6408696,6530434
9148733,9060769,9044340,73146,6322438,6503521
9155498,9084214,8977780,84446,6375781,6388028
9099708,9085578,9069933,106143,6321621,6447838
9151591,9071786,9088150,84890,6369729,6530647
9107761,8942627,9131592,135099,6105575,6184966
8774135,8711029,8693724,95623,6121401,6373176
9133926,9107762,9070947,105941,6383943,6497014
9170738,9049920,9065535,83731,6351978,6467049
9164884,9100293,9027320,88472,6352278,6505698
9396866,9208477,11761800,100862,6495438,6817247
9402996,9285278,11997929,109724,6554165,6689374
9350083,9253150,12032927,126617,6574450,6673231
9368906,9249768,11953256,100937,6560935,6634589
9406287,9270610,11982238,110102,6575397,6635583
9430445,9322230,11943089,124080,6538920,6685261
9424813,9340245,12011566,109570,6614235,6688686
9353919,9118602,11717177,157867,6261084,6389558
8892210,8835709,11472261,91458,6349969,6412045
8920714,8782738,11445582,97491,6312586,6383643
8939050,8827202,11447827,90755,6252983,6465382
8987172,8790325,11443802,118163,6215663,6465747
8933237,8790827,11449084,105405,6224179,6557893
8902351,8776067,11446826,111180,6231116,6494774
8886294,8785773,11361189,109947,6246511,6475182
8932107,8816066,11416894,100548,6193186,6437861
9330468,10594111,11676490,128700,6254931,6468072
9451531,10297803,11728126,102312,6263314,6000162
9318340,9197536,11955882,109579,6469988,6268938
9327867,9221709,11935365,149001,6443214,6647087
9372723,9277916,11946328,127194,6504093,6720425
9317246,9286697,12025936,146348,6524680,6751933
9393851,9197886,12015957,135594,6580673,6732125
9601551,9287921,12476572,145639,6522146,6609467
9271842,9228503,11820471,104194,6562945,6675910
9321254,9282720,11917273,130881,6645483,6712019
9345019,9305090,11927996,142575,6607427,6765587
9324862,9288957,11920686,119633,6587216,6729954
9325728,9293776,11930301,131316,6526123,6778137
9615934,9316013,11947304,139325,6987248,6632519
9335601,9285940,11958644,139876,6492776,6769913
9561652,9520965,12300630,130285,6723270,6724202
9317580,9267414,11970672,112660,6541853,6746780
9280899,9161465,11853716,131497,6485450,6719565
11674686,10263669,12273775,134319,6548405,7006113
13087528,13002212,12446062,140418,6852156,6632016
9658137,10217577,12420312,125142,6403640,6393369
11123670,9307018,13935265,132497,9294173,6512901
6874349,6919368,8153056,115789,15723073,14813868
7356508,8001967,10672861,141794,15353509,12596417
7095539,6970739,8118270,91283,14668720,13688760
7732704,11208616,9667142,117075,15861471,15115502
12624754,13086820,14293950,232913,10540650,11552834
9643994,11615340,11519479,118769,10914890,9773369
8911036,8946984,11799711,94613,10124541,15572347
11991806,12018772,10196224,119317,12216765,14133288
9929094,13065936,13705668,136663,13295910,16915670
12225491,9384322,10602716,128430,11111292,13775321
12255365,11658135,9661422,139838,11479039,13353048
8255976,8903249,13031515,102053,11599054,16136972
7714892,7648110,10434084,117064,19333310,17720414
9470640,7666716,11383702,114582,15242992,16813672
9314626,8404919,12065644,111790,9776946,9889904
9913531,7877331,8449127,128293,11063118,9782702
10317375,8446524,12040819,130667,8541606,12181481
9509778,12457773,15348577,137926,18536896,20679833
8438730,11328746,8455747,116837,12133140,16046833
11264262,8454297,8475259,121691,18483796,15366337
11250674,8408608,8711927,111312,20281902,15486455
12052611,10139577,12077257,118693,22858988,22999559
9994119,9961163,10088481,138985,21110595,18659796
7973196,7697104,7826010,102690,23771197,23834009
7664512,7661440,7693063,100064,23878824,23951692
7736284,7690350,7660676,121429,23891476,23957076
7746604,7691573,7705797,98772,22003237,22810222
11035780,8705314,10102853,167297,19774695,19298725
15447274,17198595,17780869,187995,8594824,11586144
11803517,11047702,17678158,144121,10583887,8600917
9105711,10023487,17027488,179322,10933159,8765665
7674913,7655168,13061400,126931,7743533,7613986
9340621,11447032,16871630,155241,11035443,11213445
10606127,10991404,14436807,191563,7953417,11262598
9215032,10091921,18673763,175866,11789943,11605679
9281877,12052882,15823082,178001,11442604,10811579
9465600,12092770,15579714,115112,11723505,9530070
10311282,12315843,15965632,158993,11622698,11562766
16634317,12647559,20635491,173937,10347929,8893424
12307343,11873539,15799315,169706,17104197,10542353
9770337,11829878,13018569,234063,7529038,7764738
10522665,11787667,15380800,172881,8834375,11920097
11384918,9951019,19606310,147059,8140464,8433260
9320217,9604369,19458969,141977,11133621,8535630
9857408,11596105,14029165,148605,11451153,11741513
10966224,8973511,14569613,124082,7580533,7846805
8911714,10934828,14559773,142288,8253653,11187017
12115454,11249381,19947852,149192,10945693,9531917
12377251,12255916,16262658,173897,11198628,10460750
12529404,11116428,18742918,162680,11456640,13123321
10050418,12212642,15906058,150005,8141885,8390129
12373589,11081931,17815391,204462,9212232,12567275
9217400,11953104,15203624,148297,9972529,9593179
14056820,12775671,22061325,178882,7717948,7792602
21966439,18940749,20137916,172965,8281172,10028671
18310189,15422743,21610650,160131,8021248,9633733
14038327,15313578,15575818,109861,11734452,11442124
13906403,14591963,14460123,138707,11464151,12798027
17937401,18060807,19423467,126518,12145592,12987449
17546281,20056313,20468667,142785,12682661,13075776
15370176,15425469,16202035,140906,11095149,12771869
15464193,17484004,14305993,157058,10808968,12127154
15065368,15558857,15547136,149631,12044949,11538200
15936828,13552973,14753497,173209,12334537,11838347
17966420,9660864,14995300,147705,25471164,26945155
11192635,11095311,12631257,115242,21432215,20442658
12502977,11350967,18117527,130299,24229965,25611240
10064927,8610166,10113520,97060,22962166,20567920
13199848,11214494,11153492,124188,22180592,22751119
11755012,8971400,13513310,126676,16229283,16892377
14716266,15210158,13126710,131745,21972299,11973495
12028510,12199250,12070193,117776,14570931,11201848
17135336,19467131,16454435,133396,22257489,13437642
12816766,15177885,12915393,127220,17811007,13058176
13115913,13129653,16199051,134901,19376417,11247889
12637264,12408449,13398041,128751,21374638,12600193
13311759,14088389,13056148,172790,21343354,12593383
12835792,12871645,12903046,120104,26911213,25669703
13090900,13063953,13082838,141161,27625655,27507050
13929749,13681883,13495439,161966,27244699,26673900
