1497,3758,354588,5880,2659,3088,2075,558,323,1251,399,1852,2376,9059,451
240726,5992,320448,9753,1864,438,2056,380,3913,636,3155,1312,649,1625,643
4769,2143,1951,5062,2797,968,3107,1892,2246,1986,1714,385,1703,5281,2404
194,4378,1636,79,1347,3074,532,1346,232,908,252,600,2017,6386,6851
1885,1692,691,1882,2218,641,2575,1575,244,476,180,2449,1062,482,539
2983,1132,1131,1009,1909,994,1225,1035,811,1205,1062,608,462,502,3227
3017,2566,1948,651,4655,837,552,310,2778,1729,2311,272,3527,1343,4817
152,1120,729,137,453,351,1654,3218,151,726,139,411,5885,870,1230
301,890,5111,479,348,561,779,371,337,1101,148,3002,3112,3374,2143
3891,111,1610,5691,489,356,524,374,3257,200,3055,205,337,457,506
5594,2137,83,1364,1022,3666,683,596,349,355,100,227,4111,428,463
1098,6068,9092,4993,750,444,2817,643,469,2614,770,113,708,3895,1318
1828,1381,5243,172,520,355,647,1907,133,545,209,444,635,438,2983
794,811,741,1313,328,640,2168,351,2025,872,2663,4122,393,1883,432
5557,334,256,3165,5122,838,328,597,4939,609,3589,168,1070,862,462
963,2104,517,6544,381,382,5812,362,111,633,163,316,2268,500,410
783,720,730,3048,1157,448,569,1121,944,180,1079,156,538,4274,1779
1577,375,207,2161,446,391,457,751,103,515,403,218,2016,584,2363
261,1711,1461,84,329,391,459,331,5509,712,7228,3272,1769,3664,457
4509,578,3417,687,709,3855,3267,705,322,381,134,334,5017,589,476
683,5836,4496,545,294,366,684,329,463,5854,163,245,318,1490,466
719,2439,2365,116,670,429,551,4199,440,370,639,122,1776,1279,1388
212,5002,5255,551,289,366,506,520,212,538,508,1281,86,475,4965
4494,3666,1681,2419,299,373,750,357,220,232,208,5340,935,542,773
5851,697,263,1319,3423,2543,585,592,607,490,674,103,3683,489,694
1314,4007,3429,5632,1165,362,1852,334,624,3821,1525,125,1983,1044,1761
1900,6286,3646,4072,1696,669,1279,4189,1045,760,980,307,2251,2255,1191
1879,2639,633,552,1871,1059,1481,1217,2655,574,1375,256,1516,534,3259
400612,4731,2260,3224,337,1478,3094,374,436,1686,222,399,2240,2082,2336
403475,8332,1146,933,692,351,1168,3574,413,663,238,968,462,2699,2418
401223,2114,883,4384,609,332,1015,2022,1542,862,947,225,485,612,4522
397941,135,151,158,3675,1530,817,1053,5340,477,3112,3863,1380,732,1481
399809,8156,2732,6902,1920,343,2954,506,2698,2585,1898,180,424,2145,528
401211,3492,5184,623,1081,370,851,3970,427,2085,256,120,446,459,484
403652,200,5519,7222,928,571,371,356,1646,480,1155,5561,443,441,481
529487,930,4756,876,3537,3158,2672,1053,2418,412,1768,130,2798,4425,1727
107580,6327,3550,3078,648,342,1035,393,312,3776,433,553,415,3693,670
2150,241,65402,62,368,371,429,2289,244,435,210,185,454,2240,477
2006,2533,397,6958,684,375,551,1117,283,385,289,140,1018,484,4543
